Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Abusive_Count,Abusive_Words
kaum cebong kapir udah keliatan dongoknya  awal tambah dongok  hahahah,1,1,0,1,1,0,0,0,0,0,1,0,2,cebong dongok
 mah sdh nenek nenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil   bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0,1,cebong
 cebong bang  merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
goblog   bani cebong tukang tipu penjilat penguasa ketahuan gerakin masa dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
wuih cebong sewot n xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
si tolol udah tau pemerintah rezim komunis  bobrok koruptor  pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0,4,tolol rezim komunis cebong
pemberitaan saracen diframing katak seakan tim prabowo  anies sandi seberulnya  media menumpahkan sakit hati katak  cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
kan ane bukan cebong udeh dibilangin  maren  ngeyel nsitu maksa ane jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
tahun rakyat makan aspal  beton   solusi jitu mengurangi kemiskinan keahlian cebong  tukang tipu cebong mah gitu goblok  ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong cebong goblok
hahahaha blunder lu cebong gak ngasih tuh pem pusat  alasan ham kalau rakyat aceh  mau kali  cobak kau datangi pemerintah bilang suruh buat hukum islam kaffah  aceh klau dpr a,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong kacung  kt temen gw dungunya sampe  tulang sum jd jgn buang energi debat sm  xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
nikita mirzani udah pake hijab  ngomong cebang cebong udah pernah fantasiin doi belom uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
kotor ga masalah  penting bahagia warganya cebong mana ngerti,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
brahahahaaa cebong nya ngahok xf x f xa xa xf x f xa xa cebong blm cebok xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
belah duren yaaaa ngak dungu  gak cebong xf x f x x xf x f x x nmaaf ,1,1,1,0,0,0,0,0,1,1,0,0,2,dungu cebong
ahhh  kan perasaanmu  utk menghibur diri mana  cebong tdk bahagia presiden cebong punya tol cebong punya lha elo punya cuma germo xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,3,cebong cebong cebong
semua  terdapat  kelakuan bani cebong,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
cebong makin kepanasan jadi makin ngawur xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
ganti rezim kacung lah cebong mah gitu kalo ditanya,1,1,0,1,0,0,0,0,1,0,1,0,2,rezim cebong
cebong kampret  onta  ngak bersinggungan  laut,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong kampret onta
  kamu malah cari musuh dasar peranakan cebong kampret,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong kampret
mungkin mrk slh tulis  slh sebut aja bu nmkst nya mungkin cebong muda kampungan xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong kampungan
presiden paling buruk  sejarah bangsa cebong,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong  kasih fakta  bilang dusta cebong dikasih dusta  bilang realita cebonger s emang bikin gemes xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
rakyat kaum bani cebong,1,1,0,1,0,0,0,0,1,0,1,0,2,bani cebong
biasa bro  ciri cebong adu domba  so lugu namanya  cebong buzzer recehan begini xf x f x x xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
cebong   pernah senang lihat kejayaan pk anis   ttp sirik parahnya klu junjungan dipuji habis habisan meskipun melakukan  buruk,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
ngakak  barisan cebong sakit hati mau pake isu saracen utk nyerang anies sandi  gagal dilantik,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
cebong emang jagonya bikin  sebar hoax,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
setipe sama  dibelain nkata andalan cebong  pemuas syahwatnya xf x f x x xf x f x x xf x f x x,0,1,0,0,0,0,0,0,0,0,0,0,1,cebong
cebong  badut nya china xf x f xa xaa xf x f xa xaa xf x f x x xf x f x x xf x f x x cuma dikipasin sama uang recehan galaknya bukan main xf x,1,1,0,1,0,1,0,0,0,0,1,0,1,cebong
si joko pngen ttep populer buat pro nas d jkt si ahok jga g mw klah buat jga proyek  d jkt akhirnya pmbngunan blom slsai tp udh bngun lgi  d ruas utama sling brdekatan skrg cebong guoblok mlah nyalahin ani,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
bani kampret bani kecebong pilih bani adam lah soale manusia,1,1,0,1,0,0,0,0,1,0,1,0,4,bani kampret bani bani
jahahaha cebong kapir alay goblok munafik jijik banget dah iyuuhhh,1,1,1,0,1,0,0,0,0,1,0,0,5,cebong alay goblok munafik jijik
bangsat n cebong n kecoak n bajingan n taik ayam n uanjing n bodat n cecurut n borax n kucirap,0,1,0,0,0,0,0,0,0,0,0,0,3,bangsat cebong bajingan
 dulu nemang anaknya pepo  apa xe x d x nampang doang xe x d x nmo dibawa  bangsa  mo jadiin foto model xe x d x xe x d x n ncebong aja urus biar ga rewel gini n n xf x f x xb xf x,1,0,0,1,0,0,0,0,1,0,1,0,0,
siapa  bilang jadi kapir emang susah hahaha tuh kan sel otak lo blom nyambung   susah emang jadi kapir cebong  orang ngomong   ngomong  ngatain agama islam aja pake rujukan internasional hahaha ma,1,1,1,0,1,0,0,0,0,1,0,0,1,cebong
lt strong gt dasar cebong dungu turunan lt strong gt,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong dungu
alaaaahhhhh omongan cebong mah udah ketauan  arahnya mau pakek tol kelok  tetep ga usah sok islam lu bong,1,1,0,1,1,0,0,0,0,0,1,0,2,cebong bong
giliran disodorin fakta  cebong pd mingkem ttep aja bgi cebong mau die sengsara jg dkung dilan otaknya udh terkontaminasi gc  mikir waras,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
cebong udah girang pdhl  kibulin najis lo bong mata lo pd picek,1,1,0,1,0,0,1,0,0,0,1,0,4,cebong najis bong picek
udehh tau junjungan cebong  licik yaa kok  mau menghamba ama tukang ngibul,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
 anti kebhinnekaan cebong dituduh ummat islam,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
key point cebong dungu iq sekolam ngeyel ujung nya balik  kolam pokoknya ganti trus apa   xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong dungu
 rezim sensasional tindakan dn peristiwa diluar nalar  smakin dominan terjdi berdoalah smoga   mendeklarasikan islam cebong nusantara xf x f x x f,1,1,0,1,0,0,0,0,1,0,1,0,2,rezim cebong
kaum cebong dungu saham  soal pengambilan keputusan mayoritas bukan  keuntungan lebih banyak nemangnya siapa gaji pekerja punya alatnya semua  freeport,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong dungu
luh anak monyet sllu bawa agama kalo bicara politik  tau wawasan wwsn luh dangkal jdi kalo  sosmed luh bcranya sektariannizrm pemecah belah masalah umat  beragam suku  ras agama bicara  kecebong makar wong panglima gatot ajah gak  kaitanny,1,1,1,0,0,0,0,0,1,1,0,0,1,monyet
replyan gue ga dibalas mulu dasar onta cebong,1,1,1,0,0,0,0,0,1,1,0,0,2,onta cebong
terbukti kan kalo lo cuma modal fitnah xf x f x x nsemua cebong sama modal bacot kenceng  fitnah sana sini   ngebuktiin lo gak jauh beda sama temen temen lo  kolam xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong bacot
haha sempit banget pikiranmu bang cuma  kampet cebong doang kasian ,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong senior nihh,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong mana ngerti,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
res res ncebong klo ga goblok  bloon res mklumin aje,1,1,0,1,0,0,0,0,1,0,1,0,1,goblok
cebong jangan dinasehati bu ga mempan mempannya diludahi x disebelah kiri  baca auzubillah,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
otak bani cebong emang kosong n nseorang napi penista agama diselingkuhi istri tahun lamanya amp jg bermulut jamban dipuja puja bak dewa n n n n cebongkoplo,1,1,1,0,1,0,0,0,0,1,0,0,3,bani cebong jamban
sifat kampret   cebong licik culas amp memfitna dasar cebong kampret,1,1,0,1,0,0,0,0,1,0,1,0,4,kampret cebong cebong kampret
iya lu manusia berkelakuan cebong mau hina  marah dihina,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong hina
yaa elaj cebong gak kreatif bgt ikut bahasa  pake cebong anak kodok nabi lu kan si kodok makanya lu  panggil cebong laknat gantipresiden presidenbaru asalbukanjokowi,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong cebong cebong
  j nih cebong bangsad cepet modar luh bong cuma jadi hama j luh bangsad,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong modar bong
udah gak  nangkep kalimat  awal sok pinter sekolam pake ngata in islam kasihan banget temen cebong lo  islam udah mah mati an belain cebong kapir gak taunya agama islam  hina sama cebong kapir nih satu hahaha nas,1,1,0,1,1,0,0,0,0,0,1,0,4,cebong cebong hina cebong
justru  sebutan paling terhormat  malah kasihan sm cebong benerannya  samain dgn kaum dungu,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong dungu
 akibat makan gaji dr duit korupsi blbi dilakukan  toke cina otak cebong benar dungu nmasalah tka cina bukan  fiksi tp sdh fakta tp kalian anggap isu tsb fiktif hancur negara  kalian jual,1,1,0,1,0,1,0,0,0,0,1,0,2,cebong dungu
kasusnya sp bong gak terbukti n ncuma halu  cecungung kodok alias cebong aja ,1,1,0,1,0,0,0,0,1,0,1,0,2,bong cebong
cebong otaknya  ngeblend,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
orang cina mah bebas selama si mukidi  keahlian cebong  tukang tipu cebong mah gitu goblok  ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden plongaplongo dunningkrugereffect,1,1,0,1,0,1,0,0,0,0,1,0,3,cebong cebong goblok
lah terserah gua dong gua kan mau ngatain cebong haha lucu banget cebong kapir satu ni awalnya sok iye ujuk ngasih data pengen kelihatan pinter  mata cebong   haha gak sadar  keceplosan keterusan ngatain agama i,1,1,1,0,1,0,0,0,0,1,0,0,3,cebong cebong cebong
menghadapi cebong  santai mbak kalo kt santai tp ngeselin bikin cebong emosi tinggi xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
siapa tuh ustad gim gim gitu namanya lupa aku  minta ujaran cebong  kampret dihentikan  semestinya dihentikan  ujaran kafir dajjal   lebih tak pantas xf x f x x b xf x f x x b xf x f,1,1,1,0,0,0,0,0,1,1,0,0,3,cebong kampret kafir
islam nusantara ngga  bedanya sama cebong nusantara,1,1,0,1,1,0,0,0,0,0,1,0,1,cebong
tiba  sadar  bahasa kampret cebong tdk pantas  sekian lama menebar bahasa dg segala sara  kebencian trs kata kafir cina pki  munafik,1,1,0,1,0,0,0,0,1,0,1,0,4,kampret cebong kafir munafik
cebong kakean istilah  tetep aja hasilnya,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
 semua salah cebong,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
kalo jokowi tommy jadi ri amp ri dipastikan cebong banyak bunuh diri xf x f x x xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
dpr mempunyai legislasi nasional ternakin cebong gk pk ngomong,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
dulatips hahaha herannya  cebong  seneng banget agung in junjungannya plonga plongo  xf x f xa x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
cebong mana ngerti katawarganet,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
gak apa apa disebut cebong  jangan sebut orang   sebutan kafir  kafir tak  jadi pemimpin kafir tak  dijadikan teman kafir  dimusuhi   n nbegitu tad,1,1,0,1,1,0,0,0,0,0,1,0,5,cebong kafir kafir kafir kafir
efek tgb kayaknya bnyk temen bicaranya mendadak udah kek cebong  n ogahjadicebong,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
katanya pintar gw tanya gugat nya gimana malah ngataian cebong ngeles kayak bajaj aza loe kata menguggat  gampang hahahaha,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong takut anies  mnyapu habis got slruh indonesia hingga cebong gak  hidup ,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
cebong dungu   aturan   larangan tulisan berita,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong dungu
rt akun kecebong   kebanyakan dikelola etnis tertentu gaya pengecut cebong jakarta  dendam dgn anies sandi,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
kalau  masuk lingkaran mlm sulit lepas upline jadi komisaris downline rugi keahlian cebong  tukang tipu cebong mah gitu goblok  ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden pl,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong cebong goblok
cebong mah  otakny ngeres mulu hny seputaran coli,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
iya aman  mayoritas rakyatnya  umat islam hatinya sering bapak sakiti sukses mengendalikan diri sukses menjaga emosinya  kepentingan persatuan bangsa lah bapak sendiri  presiden malah memelihara cebong ,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
iih cebong cebong gagal paham kali kau ga salah kalau udah kena virus cebong jadi dungu hahahaha ga  trima kenyataan yah kasihan deh lo,1,1,0,1,0,0,0,0,1,0,1,0,4,cebong cebong cebong dungu
hihihi cebong rasa kampret tu gue kira cuma  dlm dongeng nrupanya xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong kampret
modal cebong cuma copas bukti kapasitas otak minimalis xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
si rosa  kok mukanya tugu peringatan   batu nissan gentle dong  apa  kaum cebong,1,1,1,0,0,0,1,0,0,1,0,0,1,cebong
isnus baru netes  telor kodok sejak si said agil jd kolektor cebong bang ndan  cm idup dr sari comberan hasil buangan makanya  sll koar ttg isnus xf x f x x xf x f x x,1,1,0,1,1,0,0,0,0,0,1,0,1,cebong
jokowi  segera  lengserkan   ganti  ahmad heryawan cebong jgn nyolot   beri contoh lo,1,1,1,0,0,0,0,0,1,0,0,1,1,cebong
iya semua mulai  ta  disebarin ahog makanya cebong macam lo makin subur xf x f x x c,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
rt hahaha antek komunis kelojotan menjelang sept kecebong  anak pki,1,1,0,1,0,1,0,0,0,0,1,0,2,antek komunis
cebong mana ngerti wkwkw,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
bu guru cebong ternyata gitu,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
biasa prof rombongan cebong iq dangkal asal nguap aja,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
udah gapaham lagideh sama otak cebong xf x f x xad,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
mana aku tahu aku kan cebong,0,1,0,0,0,0,0,0,0,0,0,0,1,cebong
cebong boros bacot hemat pake otak,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong bacot
tiada pangkat paling mulia  dunia   pangkat seorang ibu sehebat apapun manusia  terlahir  seorang ibu keahlian cebong  tukang tipu plonga plongo mengakibatkan optimisme berlebihan gantipresiden plongaplo,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
nah kan bacotnya cebong kok sama semua  xf x f x x xf x f x x nmirip pki xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
ulah cebong kafir keparat ,1,1,0,1,1,0,0,0,0,0,1,0,3,cebong kafir keparat
wah   keberatan disebut cebong yah,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
istilah cebong  kampret kurang berbau arab pakailah istilah onta dungu  keledai liar,1,1,0,1,0,0,0,0,1,0,1,0,4,cebong kampret onta dungu
 akun ketepu jutaan ntp biarlah  akun kapir cebong xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong mah percaya wae  boongin meme xf x f x x xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
woe cebong loe  dasar komunis atheis silipis autis salibis,1,1,0,1,0,0,1,0,0,0,1,0,3,cebong komunis autis
 cebong  terdiam taunya apple to apple doang istilah  bikin katanya keliatan pinter  minim kognitif,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
cebong mana terima dibilang rezim amatiran nklo gak amatir mana bukti  rezim profesional utang negara janji kampanye mana buktinya kemakmuran rakyat subsidi dicabuti rezim kayak gini lu mau bilang profesional,1,1,1,0,0,0,0,0,1,1,0,0,4,cebong rezim rezim rezim
penting gronbrekeng gunting pita manajemen proyek tahap nya lewatin aj lah keahlian cebong  tukang tipu cebong mah gitu goblok  ketulungan plonga plongo mengakibatkan optimisme berlebihan gantipresiden plo,1,1,0,1,0,0,0,0,1,0,1,0,3,cebong cebong goblok
iman cebong penjilat gk kaget,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
istilah kecebong kampret diharapkan hilang  jagat dunia maya istilah kofar kafir sesat menyesatkan bgmn a edisingadukaaa,1,1,0,1,0,0,0,0,1,0,1,0,2,kampret kafir
hahahaha makin ketauan ni cebong mau sembunyi  balik kebegoannya xf x f x x d xf x f x x d,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
bwahahhahaha gw demen klo dah liat cebong ngamuk xf x f x x xf x f x x xf x f x x khas cebong banget kalah debat ngamuk ngamuk cung kacung xf x f x x d n gantipresidenkacung,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
milih cebong liberal tengik sekularisme  segelintir antek,1,1,0,1,0,1,0,0,0,0,1,0,2,cebong antek
 pak lulung masuk golongan cebong apa kampret nkok lebih dominan melekat ciri kampret apa  pertanda pak,1,1,1,0,0,0,0,0,1,1,0,0,3,cebong kampret kampret
wakakaka cebong ngibul ngikut gaya ngibul junjungannya,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
gubernur ahoax  bangga in cebong kelas jamban mana  bangga in ahoker sama jokower nih liat gubernur indonesia cerdasnya,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong jamban
presiden kok cengeng kata kecoak cebong mana ngartii,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
utang trilyun   kampret hidupnya melarat ikut makan kalo cebong udah happy hidupnya gak perlu akting sengsara gitu,1,1,0,1,0,0,0,0,1,0,1,0,2,kampret cebong
 cebong dungu korban php xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong dungu
cebong mana ngerti,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
apa hubungannya dgn munafik kalian kitabnya dihina laporkan  kepolisian waspadai cebong kafir ngaku ngaku islam,1,1,0,1,1,0,0,0,0,0,1,0,3,munafik cebong kafir
topik pembicaraan cebong  bani hoax  loncat xc xb  n ndari prestasi babihok apa gak dijawab malah  tanah abang ta dikasih contoh ta baik malah minta xc xb buruknya,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong bani
maunya indonesia  singapura kasih cina berkuasa dasar cebong otak reklamasi brekekekekek url,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
emang cebong kalau gak fitnah gak makan kenyang  kalau gak curang  gak menang,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
udah jadi rahasia umum bong nkoruptor nrampok npelaku maksiat npelaku bisnis maksiat nkaum lgbt npenjilat ndukun sesat ndukun cabul nbla bla bla ntergabung dlm bani cebong,1,1,0,1,0,0,0,1,0,0,1,0,4,bong lgbt bani cebong
cebong selalu ngk move on masuk aja kemako brimob ,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
 mulai ngatain cebong  kaum codot playing victim much,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
sebenernya cebong eh berudu  ter fait accompli anies nyapres  tetap gubernur hidup mrk tetap ga tenang nikmat bgt gw dah klo lg begini buat mainin cebong,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
 cebong kelojotan  takjil gantipresiden nkalo kalian waras buatlah takjil  sama bukannya ngamuk ngamuk ngga karuan ngiliran presiden  hina kalian mingkem n gantipresiden n gantipresidenkacung,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong hina
cebong kurang kopi eta mah xf x f x x nharga harga naik ngakunya   beli padahal mah ngutang xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
kata cebong nah telur naik cuma an aja berisik dasar kampret miskin xf x f x x f xf x f x x f xf x f x x f,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong kampret
cebong kampretos bilang penting infrastruktur jalan truz g apa  mahal  naik xf x f x xb xf x f x x xf x f x a xbd,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
gembok akun aja udah gak usah tebar data berkali kali main data lo gak  jawab data gembok akun xf x f x x nsehari kali gembok akun npayah cebong cupu,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cupu
ternyata katanya katanya hafizh gak tau bener apa   jadi cebong ,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
berarti gk sala cebong pintar nna klo si kampreet gimna ndari dulu gk maju cuma otak udang  pake gede badan doank wajarla klo petinggi kampret pinda haluan,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong kampret
jgn salah  janji jokowi  tuntut lu ajh gx paham cebong,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
berarti beneran cebong dong yak wkwkwkakak dasar iq sekolem,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
nasib cebong baik  krn semua  mimpi buat org otak berak kaya lu,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong berak
dasar cebong hih n xf x f x xab xf x f x xa,0,1,0,0,0,0,0,0,0,0,0,0,1,cebong
gak cucok   langit  bumi kampret cebong  lebih adem cebong,1,1,0,1,0,0,0,0,1,0,1,0,3,kampret cebong cebong
bro lu pikir asing sama aseng kasih hutang gak  maksud terselubung gk  makan siang gratis asal lu tau cebong macam lu bakal musnah klo gk  kasih makan faham lu lae,1,1,1,0,0,0,0,0,1,1,0,0,2,asing cebong
heran gw mah orang berhijrah pake jilbab   dinyinyirin  gak cocok lah aura gak keluar lah gak cantik lah mon maap lu kira pake jilbab kontes kecantikan pake ngomong aura gak keluar segala hhhh cebong mana ngerti,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
 trs knp kok jdi lo ngatur instastory rangorang bawel  jadi cebong xf x f x x xf x f x x xf x f x x,1,1,1,0,0,0,0,0,1,1,0,0,1,cebong
salah cuma kaum cebong lah situ kaum cebong bukan,1,1,1,0,0,0,0,0,1,1,0,0,2,cebong cebong
cebong sana sini cari simpatisan  popularitas,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
strategi kotor pks ncebong manapun udh apal njing,1,0,0,1,0,0,0,0,1,0,1,0,0,
ekspor cebong ajalah,0,1,0,0,0,0,0,0,0,0,0,0,1,cebong
 cebong kanan tetap ngotot cawapres  pak prabowo   kalangan  kek cebong kiri,1,1,0,1,0,0,0,0,1,0,1,0,2,cebong cebong
udah  cukup aku meladeni kamu silahkan ngobrol dng sesama kampret maaf lho  cebong  sbnrnya org sibuk perlu meluangkan waktu utk interaksi dng kampret pengangguran spt elo,1,1,1,0,0,0,0,0,1,1,0,0,3,kampret cebong kampret
cebong pemuja ahok  meratap  thread  xf x f x x xf x f x x xf x f x x,1,1,0,1,0,0,0,0,1,0,1,0,1,cebong
